DATE,SH50,HS300,ZZ500
2021-11-10,3170.405,4821.193,7062.331
2021-11-11,3233.37,4898.653,7119.859
2021-11-12,3220.548,4888.375,7156.613
2021-11-15,3221.687,4882.378,7098.213
2021-11-16,3222.173,4883.321,7045.939
2021-11-17,3208.776,4885.754,7104.534
2021-11-18,3173.376,4837.619,7084.683
2021-11-19,3212.908,4890.058,7169.876
2021-11-22,3212.151,4912.399,7255.074
2021-11-23,3224.155,4913.346,7261.379
2021-11-24,3231.835,4916.658,7256.112
2021-11-25,3218.051,4896.442,7233.542
2021-11-26,3187.358,4860.127,7219.862
2021-11-29,3187.049,4851.423,7221.898
2021-11-30,3165.35,4832.026,7252.755
2021-12-01,3180.418,4843.851,7272.837
2021-12-02,3190.872,4856.163,7229.988
2021-12-03,3221.422,4901.018,7301.917
2021-12-06,3228.142,4892.621,7240.456
2021-12-07,3254.499,4922.102,7206.826
2021-12-08,3304.708,4995.93,7302.991
2021-12-09,3360.184,5078.69,7320.318
2021-12-10,3353.63,5055.117,7306.646
2021-12-13,3366.068,5083.801,7353.031
2021-12-14,3350.497,5049.695,7324.133
2021-12-15,3318.98,5005.899,7314.259
2021-12-16,3330.856,5034.732,7380.997
2021-12-17,3278.899,4954.76,7314.56
2021-12-20,3255.352,4880.418,7195.973
2021-12-21,3273.031,4913.485,7275.468
2021-12-22,3260.571,4914.454,7302.463
2021-12-23,3287.188,4948.739,7337.19
2021-12-24,3290.236,4921.345,7278.756
2021-12-27,3278.437,4919.324,7272.749
2021-12-28,3303.4,4955.964,7286.034
2021-12-29,3240.845,4883.48,7247.774
2021-12-30,3261.794,4921.511,7310.96
2021-12-31,3274.321,4940.373,7359.402
2022-01-04,3264.066,4917.765,7354.456
2022-01-05,3254.279,4868.12,7222.675
2022-01-06,3210.385,4818.232,7229.96
2022-01-07,3223.267,4822.369,7175.676
2022-01-10,3236.116,4844.045,7191.451
2022-01-11,3214.529,4797.774,7135.223
2022-01-12,3236.308,4845.579,7196.933
2022-01-13,3184.107,4765.919,7097.759
2022-01-14,3139.045,4726.732,7081.141
2022-01-17,3147.699,4767.276,7157.859
2022-01-18,3187.524,4813.347,7163.159
2022-01-19,3187.192,4780.378,7118.762
2022-01-20,3233.701,4823.509,7056.785
2022-01-21,3218.735,4779.314,6976.616
2022-01-24,3209.745,4786.738,6979.246
2022-01-25,3144.949,4678.451,6743.957
2022-01-26,3163.674,4712.311,6782.576
2022-01-27,3119.239,4619.877,6605.916
2022-01-28,3054.021,4563.772,6580.53
2022-02-07,3114.26,4634.09,6676.612
2022-02-08,3116.505,4608.773,6742.192
2022-02-09,3139.564,4652.061,6843.027
2022-02-10,3145.113,4639.863,6840.485
2022-02-11,3142.912,4601.395,6745.024
2022-02-14,3103.997,4551.688,6695.696
2022-02-15,3119.928,4600.103,6760.278
2022-02-16,3136.082,4617.989,6772.034
2022-02-17,3139.177,4629.165,6768.789
2022-02-18,3162.822,4651.236,6835.022
2022-02-21,3144.865,4634.314,6867.113
2022-02-22,3102.325,4574.153,6784.762
2022-02-23,3118.038,4623.047,6887.424
2022-02-24,3059.641,4529.319,6764.876
2022-02-25,3075.587,4573.425,6819.431
2022-02-28,3080.777,4581.646,6853.308
2022-03-01,3125.691,4619.686,6874.045
2022-03-02,3107.241,4578.601,6875.24
2022-03-03,3097.089,4551.628,6859.552
2022-03-04,3062.382,4496.43,6803.834
2022-03-07,2974.676,4352.778,6659.39
2022-03-08,2933.164,4265.391,6429.889
2022-03-09,2907.178,4226.346,6305.609
2022-03-10,2933.461,4292.837,6414.94
2022-03-11,2935.684,4306.522,6474.127
2022-03-14,2851.877,4174.758,6323.578
2022-03-15,2702.853,3983.812,5964.981
2022-03-16,2827.75,4156.081,6156.271
2022-03-17,2877.219,4237.696,6267.524
2022-03-18,2913.185,4265.902,6332.217
2022-03-21,2892.107,4258.746,6358.943
2022-03-22,2900.768,4255.295,6358.109
2022-03-23,2916.508,4276.517,6398.101
2022-03-24,2903.617,4251.306,6344.115
2022-03-25,2856.428,4174.574,6268.238
2022-03-28,2853.182,4148.466,6283.281
2022-03-29,2842.153,4134.144,6253.069
2022-03-30,2915.491,4254.099,6377.874
2022-03-31,2898.826,4222.597,6324.961
2022-04-01,2943.244,4276.158,6364.521
2022-04-06,2931.198,4263.841,6356.927
2022-04-07,2902.482,4209.1,6221.591
2022-04-08,2925.491,4230.767,6224.117
2022-04-11,2846.38,4100.07,6029.894
2022-04-12,2894.258,4179.973,6126.907
2022-04-13,2882.279,4139.737,6044.326
2022-04-14,2928.596,4191.568,6126.49
2022-04-15,2930.578,4188.747,6070.749
2022-04-18,2887.721,4166.384,6074.007
2022-04-19,2861.567,4134.902,6092.396
2022-04-20,2835.352,4070.789,5956.921
2022-04-21,2797.529,3995.83,5759.801
2022-04-22,2814.127,4013.25,5740.984
2022-04-25,2683.413,3814.913,5369.717
2022-04-26,2681.028,3784.12,5234.006
2022-04-27,2734.54,3895.536,5437.037
2022-04-28,2769.712,3921.107,5418.764
2022-04-29,2805.336,4016.241,5627.902
2022-05-05,2800.929,4010.21,5686.702
2022-05-06,2719.761,3908.815,5563.769
2022-05-09,2695.133,3877.436,5608.516
2022-05-10,2718.371,3919.868,5690.087
2022-05-11,2741.232,3976.423,5737.817
2022-05-12,2721.77,3958.74,5743.101
2022-05-13,2748.237,3988.6,5796.801
2022-05-16,2720.406,3956.538,5791.081
2022-05-17,2756.74,4005.893,5816.338
2022-05-18,2745.528,3991.907,5797.49
2022-05-19,2744.545,3999.598,5838.407
2022-05-20,2807.942,4077.6,5929.488
2022-05-23,2782.548,4053.982,5965.728
2022-05-24,2734.192,3959.154,5745.675
2022-05-25,2743.417,3983.178,5844.255
2022-05-26,2744.898,3993.045,5911.561
2022-05-27,2763.072,4001.299,5899.915
2022-05-30,2778.451,4029.018,5942.832
2022-05-31,2813.219,4091.518,6026.237
2022-06-01,2798.068,4083.177,6023.644
2022-06-02,2790.316,4089.568,6078.435
2022-06-06,2825.651,4166.085,6187.444
2022-06-07,2846.81,4179.129,6186.567
2022-06-08,2879.311,4219.812,6217.828
2022-06-09,2868.424,4175.675,6130.686
2022-06-10,2899.579,4238.994,6240.103
2022-06-13,2844.724,4189.353,6233.619
2022-06-14,2882.703,4222.311,6275.565
2022-06-15,2923.989,4278.218,6261.061
2022-06-16,2891.335,4250.061,6264.822
2022-06-17,2936.2,4309.044,6316.309
2022-06-20,2924.915,4330.433,6330.394
2022-06-21,2926.475,4325.566,6277.001
2022-06-22,2892.286,4270.623,6179.57
2022-06-23,2935.883,4343.878,6300.475
2022-06-24,2974.754,4394.772,6368.283
2022-06-27,3013.948,4444.264,6407.745
2022-06-28,3039.413,4490.517,6501.352
2022-06-29,3009.236,4421.357,6374.297
2022-06-30,3058.398,4485.011,6454.078
2022-07-01,3045.269,4466.718,6438.538
2022-07-04,3050.152,4496.03,6523.131
2022-07-05,3052.111,4489.538,6511.53
2022-07-06,2996.728,4423.97,6418.545
2022-07-07,2989.208,4443.474,6452.986
2022-07-08,2993.306,4428.781,6404.439
2022-07-11,2942.296,4354.617,6319.14
2022-07-12,2922.005,4313.618,6241.479
2022-07-13,2914.295,4321.462,6268.494
2022-07-14,2895.299,4322.074,6302.432
2022-07-15,2839.394,4248.527,6196.8
2022-07-18,2878.639,4292.586,6312.356
2022-07-19,2865.603,4269.34,6335.709
2022-07-20,2874.078,4283.803,6410.709
2022-07-21,2836.662,4236.058,6347.598
2022-07-22,2848.436,4238.234,6289.533
2022-07-25,2837.26,4212.644,6231.236
2022-07-26,2854.639,4245.976,6307.956
2022-07-27,2829.922,4225.036,6332.233
2022-07-28,2827.107,4225.673,6348.166
2022-07-29,2792.329,4170.102,6294.114
2022-08-01,2781.682,4188.678,6347.221
2022-08-02,2730.755,4107.024,6169.996
2022-08-03,2710.724,4066.975,6124.315
2022-08-04,2741.087,4101.537,6158.735
2022-08-05,2774.335,4156.911,6270.511
2022-08-08,2761.157,4148.075,6323.075
2022-08-09,2764.068,4156.291,6341.481
2022-08-10,2730.961,4109.737,6322.056
2022-08-11,2787.063,4193.543,6439.359
2022-08-12,2796.889,4191.152,6420.853
2022-08-15,2782.666,4185.679,6442.809
2022-08-16,2769.261,4177.837,6465.187
2022-08-17,2785.853,4216.959,6493.505
2022-08-18,2759.294,4180.1,6468.806
2022-08-19,2750.631,4151.074,6391.716
2022-08-22,2756.369,4181.397,6472.68
2022-08-23,2735.666,4161.082,6466.405
2022-08-24,2708.09,4082.42,6284.577
2022-08-25,2752.556,4116.24,6322.696
2022-08-26,2751.589,4107.546,6298.374
2022-08-29,2732.206,4089.521,6310.402
2022-08-30,2726.66,4075.794,6285.927
2022-08-31,2761.783,4078.84,6155.746
2022-09-01,2732.399,4043.74,6126.769
2022-09-02,2711.264,4023.613,6149.427
2022-09-05,2697.767,4015.426,6182.647
2022-09-06,2724.498,4052.28,6291.571
2022-09-07,2710.686,4054.983,6301.564
2022-09-08,2708.278,4037.684,6272.575
2022-09-09,2757.566,4093.787,6316.972
2022-09-13,2769.235,4111.115,6300.422
2022-09-14,2745.428,4065.359,6249.963
2022-09-15,2743.789,4027.119,6107.796
2022-09-16,2678.033,3932.683,5954.504
2022-09-19,2679.586,3928,5913.149
2022-09-20,2673.88,3932.836,5958.292
2022-09-21,2652.214,3903.735,5978.581
2022-09-22,2629.37,3869.344,5965.885
2022-09-23,2629.809,3856.021,5889.602
2022-09-26,2614.9,3836.677,5806.318
2022-09-27,2642.921,3892.295,5920.053
2022-09-28,2611.982,3828.71,5769.52
2022-09-29,2608.977,3827.143,5771.881
2022-09-30,2610.117,3804.885,5714.063
2022-10-10,2545.049,3720.937,5635.711
2022-10-11,2539.946,3727.687,5684.506
2022-10-12,2555.024,3784.306,5820.454
2022-10-13,2523.632,3752.673,5830.336
2022-10-14,2584.685,3842.47,5973.439
2022-10-17,2585.497,3846.412,6015.596
2022-10-18,2569.968,3838.267,6035.674
2022-10-19,2519.903,3776.534,5972.723
2022-10-20,2501.496,3754.927,5948.862
2022-10-21,2487.221,3742.893,5956.881
2022-10-24,2392.598,3633.373,5896.903
2022-10-25,2394.92,3627.454,5869.781
2022-10-26,2400.516,3656.903,5971.601
2022-10-27,2381.263,3631.145,5963.004
2022-10-28,2326.942,3541.33,5781.797
2022-10-31,2295.924,3508.703,5807.106
2022-11-01,2396.629,3634.173,5941.145
2022-11-02,2418.322,3677.805,5997.804
2022-11-03,2387.452,3647.897,5996.719
2022-11-04,2468.276,3767.175,6133.463
2022-11-07,2477.767,3775.297,6141.409
2022-11-08,2459.091,3749.325,6134.256
2022-11-09,2440.352,3714.27,6120.829
2022-11-10,2440.317,3685.689,6089.695
2022-11-11,2518.049,3788.439,6138.621
2022-11-14,2538.297,3794.017,6129.513
2022-11-15,2583.723,3865.973,6236.384
2022-11-16,2572.887,3834.39,6203.917
2022-11-17,2560.017,3818.664,6217.205
2022-11-18,2546.715,3801.569,6191.648
2022-11-21,2514.854,3769.127,6189.709
2022-11-22,2531.344,3769.573,6125.4
2022-11-23,2535.523,3773.529,6115.605
2022-11-24,2520.563,3756.808,6120.066
2022-11-25,2544.615,3775.776,6087.859
2022-11-28,2503.623,3733.242,6055.284
2022-11-29,2607.75,3848.422,6163.821
2022-11-30,2606.543,3853.037,6156.147
2022-12-01,2631.205,3894.769,6186.102
2022-12-02,2614.614,3870.948,6168.013
2022-12-05,2676.143,3946.876,6215.124
2022-12-06,2684.846,3968.198,6211.252
2022-12-07,2670.647,3958.441,6204.005
2022-12-08,2672.896,3959.18,6186.284
2022-12-09,2706.739,3998.244,6192.301
2022-12-12,2673.939,3953.443,6154.809
2022-12-13,2676.9,3945.681,6121.662
2022-12-14,2686.368,3954.886,6096.386
2022-12-15,2675.188,3951.989,6101.879
2022-12-16,2688.29,3954.227,6072.863
2022-12-19,2646.179,3893.221,5936.475
2022-12-20,2599.488,3829.017,5878.031
2022-12-21,2607.424,3830.538,5845.835
2022-12-22,2619.757,3836.028,5779.056
2022-12-23,2615.879,3828.219,5763.346
2022-12-26,2607.523,3843.489,5843.256
2022-12-27,2632.453,3887.854,5885.662
2022-12-28,2638.306,3871.264,5862.097
2022-12-29,2622.072,3856.701,5857.402
2022-12-30,2635.248,3871.634,5864.467
2023-01-03,2641.422,3887.899,5955.897
